timestamp,post_url,author,external_url,domain,keywords_matched,post_text,extracted_claim,label,policy_labels
2025-04-27T13:30:09.946417,https://bsky.app/profile/jdata-live.bsky.social/post/3lnsmmzohky27,jdata-live.bsky.social,,,vaccine,"ðŸ§¬ðŸ’‰ ""It's an astonishing thing"": None of the conventional vaccines have undergone randomized placebo-controlled trials in humans. However, such trials have been conducted in sheep, raising important qu","None of the conventional vaccines have undergone randomized placebo-controlled trials in humans, but such trials have been conducted in sheep.",1,misleading-health-info
2025-04-27T13:30:15.135177,https://bsky.app/profile/orengteach.bsky.social/post/3lnqsnrqa5s2k,orengteach.bsky.social,,,"vaxx, vax, anti-vax",I just want to point out social media's role in raising and growing anti-vaxx ranks. The Facebook algorithm that promotes engagement prioritizes controversial content which = higher engagement aka gre,"The claim is that social media platforms, particularly Facebook, contribute to the growth of anti-vaccination movements by prioritizing controversial content through their algorithms, which increases engagement.",0,
2025-04-27T13:30:35.731223,https://bsky.app/profile/mbwilliams.bsky.social/post/3lnsq4kefjs2b,mbwilliams.bsky.social,,,"vaccine, vax, novavax, covid, side effect",Novavax is the only Covid vaccine that didn't cause significant side effects for me. I f*cking hate this timeline.,The user claims that the Novavax Covid vaccine was the only one that did not cause significant side effects for them.,1,misleading-health-info
2025-04-27T13:30:15.143228,https://bsky.app/profile/roughrider994.bsky.social/post/3lnpzoihtx22s,roughrider994.bsky.social,,,"vaxx, vax, covid","COVID Vaxx Bombshell on BBC: Sportscaster Defies Script, Speaks Truth to Millions open.substack.com/pub/lionesso...",A BBC sportscaster allegedly deviated from their script to share controversial information about COVID-19 vaccines with a large audience.,0,
2025-04-27T13:30:15.153058,https://bsky.app/profile/crisismgmt.bsky.social/post/3lnop6uedb22z,crisismgmt.bsky.social,,,"vaxx, vax, anti-vax, pandemic","God, dammit, send ALL the pandemics. Let the anti-vaxx anti-science truthers cull themselves. The world needs a reset. The biosphere won't survive us otherwise. We're counting on you. #CrisisMan","The user claims that the world needs a catastrophic event, such as a pandemic, to reset and potentially save the biosphere from human activities.",0,
2025-04-27T13:30:22.937437,https://bsky.app/profile/fwilson2.bsky.social/post/3lnsqv3xln22a,fwilson2.bsky.social,,,"vax, anti-vax, who","Trump/Poilievre - Both rage against banks, offer comfort to anti-vax conspiracy believers, pick fights with journalists, talk a lot about fake news and woke ideology, lead parties that include people ","The claim is that Donald Trump and Pierre Poilievre share similarities in their political rhetoric and behavior, including criticizing banks, sympathizing with anti-vaxxer conspiracy theories, and attacking journalists and ""woke"" ideology.",0,
2025-04-27T13:30:35.782027,https://bsky.app/profile/drjudystone.bsky.social/post/3lnquv67dxk2e,drjudystone.bsky.social,,,"vax, novavax, fda, health","#FDA appears to be screwing #Novavax again by suggesting that they need to do prohibitively expensive clincal trials, rather than just post-marketing surveillance. Why, other than RFK Jr's whims? www","The FDA is allegedly requiring Novavax to conduct expensive clinical trials instead of post-marketing surveillance, potentially hindering the company's progress.",0,
2025-04-27T13:30:35.793984,https://bsky.app/profile/jansplanet.bsky.social/post/3lnqhgtbyzc2b,jansplanet.bsky.social,,,"vaccine, vax, novavax, covid, health","This Maryland-based company is welcome in Canada! Check in with us Tuesday, April 29 ðŸ‡¨ðŸ‡¦ #EthicalGovernment #Law #Science #Freedom #Charter #Healthcare #Vaccines #Novavax #CovidIsNotOver #CovidIsAirb","The claim is that a Maryland-based company, likely Novavax, is welcomed in Canada.",0,
2025-04-27T13:30:43.324515,https://bsky.app/profile/tiffysniffs.bsky.social/post/3lnqdk64soc2x,tiffysniffs.bsky.social,,,coronavirus,Do any of my SF/Bay Area oomfs want my ticket to see the Frankenstein ballet tonight at 8pm? I just tested positive for the motherfucking novel coronavirusðŸ–•ðŸ–•ðŸ–•,The user is giving away their ticket to see the Frankenstein ballet tonight at 8pm because they just tested positive for COVID-19.,0,
2025-04-27T13:30:45.979325,https://bsky.app/profile/jessicacalarco.bsky.social/post/3lnsqdj76422h,jessicacalarco.bsky.social,,,pandemic,"Blaming AI or social media or pandemic school closures or student ""laziness"" misses the bigger picture. And it risks making things worse by adding a culture of shame and surveillance on top of the pro",The current narrative of blaming various factors for declining student performance oversimplifies the issue and may exacerbate the problem by fostering a culture of shame and surveillance.,0,
2025-04-27T13:30:45.967543,https://bsky.app/profile/sysdesigner.bsky.social/post/3lnsqwyfq7k2r,sysdesigner.bsky.social,,,pandemic,"Ok, so maybe there will be another pandemic. But at least you know no Mexicans have touched your food.",The speaker claims that the food they eat has not been handled by people of Mexican origin.,1,misleading-health-info
2025-04-27T13:30:45.967543,https://bsky.app/profile/jaxx03.bsky.social/post/3lblqn2kz7k2m,jaxx03.bsky.social,,,pandemic,Dude.. you need to stop listening to fake news and really start looking into reality.  Covid was bad.. but not as far fetched as it was as the flu.. it was a staged pandemic.,"The user claims that the COVID-19 pandemic was staged and not as severe as it was reported to be, comparing it to the flu.",1,misleading-health-info
