timestamp,post_url,author,external_url,domain,keywords_matched,post_text,extracted_claim,label
2025-04-27T13:30:09.946417,https://bsky.app/profile/jdata-live.bsky.social/post/3lnsmmzohky27,jdata-live.bsky.social,,,vaccine,"ðŸ§¬ðŸ’‰ ""It's an astonishing thing"": None of the conventional vaccines have undergone randomized placebo-controlled trials in humans. However, such trials have been conducted in sheep, raising important qu","None of the conventional vaccines have undergone randomized placebo-controlled trials in humans, but such trials have been conducted in sheep.",1
2025-04-27T13:30:15.135177,https://bsky.app/profile/orengteach.bsky.social/post/3lnqsnrqa5s2k,orengteach.bsky.social,,,"vaxx, vax, anti-vax",I just want to point out social media's role in raising and growing anti-vaxx ranks. The Facebook algorithm that promotes engagement prioritizes controversial content which = higher engagement aka gre,"Social media platforms, particularly Facebook, have contributed to the growth of anti-vaxx movements by prioritizing controversial content through their algorithms, which boosts engagement and profits.",0
2025-04-27T13:30:15.135966,https://bsky.app/profile/roughrider994.bsky.social/post/3lnqqxfr7nc26,roughrider994.bsky.social,,,"vaxx, vax","Globalist Vaxx, Freedom and Slavery open.substack.com/pub/drdonhal...",The author of the post claims that globalist-backed vaccination efforts are a form of slavery that undermines individual freedom.,1
2025-04-27T13:30:15.143228,https://bsky.app/profile/roughrider994.bsky.social/post/3lnpzoihtx22s,roughrider994.bsky.social,,,"vaxx, vax, covid","COVID Vaxx Bombshell on BBC: Sportscaster Defies Script, Speaks Truth to Millions open.substack.com/pub/lionesso...",A sportscaster on the BBC allegedly deviated from their script to share controversial information about COVID-19 vaccines with a large audience.,1
2025-04-27T13:30:15.153058,https://bsky.app/profile/crisismgmt.bsky.social/post/3lnop6uedb22z,crisismgmt.bsky.social,,,"vaxx, vax, anti-vax, pandemic","God, dammit, send ALL the pandemics. Let the anti-vaxx anti-science truthers cull themselves. The world needs a reset. The biosphere won't survive us otherwise. We're counting on you. #CrisisMan",The author believes that a pandemic or catastrophic event is necessary to reset the world and save the biosphere from human activities.,1
2025-04-27T13:30:22.937437,https://bsky.app/profile/fwilson2.bsky.social/post/3lnsqv3xln22a,fwilson2.bsky.social,,,"vax, anti-vax, who","Trump/Poilievre - Both rage against banks, offer comfort to anti-vax conspiracy believers, pick fights with journalists, talk a lot about fake news and woke ideology, lead parties that include people ","The claim is that Donald Trump and Pierre Poilievre share similar political tactics and ideologies, including criticizing banks, appealing to anti-vaxxers, and opposing women's reproductive rights.",1
2025-04-27T13:30:35.782027,https://bsky.app/profile/drjudystone.bsky.social/post/3lnquv67dxk2e,drjudystone.bsky.social,,,"vax, novavax, fda, health","#FDA appears to be screwing #Novavax again by suggesting that they need to do prohibitively expensive clincal trials, rather than just post-marketing surveillance. Why, other than RFK Jr's whims? www","The FDA is allegedly requiring Novavax to conduct expensive clinical trials instead of post-marketing surveillance, potentially due to external influences.",1
2025-04-27T13:30:35.793984,https://bsky.app/profile/jansplanet.bsky.social/post/3lnqhgtbyzc2b,jansplanet.bsky.social,,,"vaccine, vax, novavax, covid, health","This Maryland-based company is welcome in Canada! Check in with us Tuesday, April 29 ðŸ‡¨ðŸ‡¦ #EthicalGovernment #Law #Science #Freedom #Charter #Healthcare #Vaccines #Novavax #CovidIsNotOver #CovidIsAirb","The user claims that COVID-19 is still an ongoing issue and is airborne, emphasizing the importance of respirators and other safety measures.",1
2025-04-27T13:30:43.324515,https://bsky.app/profile/tiffysniffs.bsky.social/post/3lnqdk64soc2x,tiffysniffs.bsky.social,,,coronavirus,Do any of my SF/Bay Area oomfs want my ticket to see the Frankenstein ballet tonight at 8pm? I just tested positive for the motherfucking novel coronavirusðŸ–•ðŸ–•ðŸ–•,The user claims to have tested positive for the novel coronavirus.,0
2025-04-27T13:30:45.979325,https://bsky.app/profile/jessicacalarco.bsky.social/post/3lnsqdj76422h,jessicacalarco.bsky.social,,,pandemic,"Blaming AI or social media or pandemic school closures or student ""laziness"" misses the bigger picture. And it risks making things worse by adding a culture of shame and surveillance on top of the pro","The current issues in education cannot be solely attributed to a single factor such as AI, social media, pandemic school closures, or student laziness.",1
